event,number
The risk or severity of adverse effects can be increased when name is combined with name.,18992
The serum concentration of name can be increased when it is combined with name.,11292
The serum concentration of name can be decreased when it is combined with name.,4772
The therapeutic efficacy of name can be decreased when used in combination with name.,2624
name may increase the central nervous system depressant (CNS depressant) activities of name.,2264
name may increase the QTc-prolonging activities of name.,2204
name may increase the hypotensive activities of name.,2172
The metabolism of name can be increased when combined with name.,1390
name may decrease the antihypertensive activities of name.,1102
name may increase the hypoglycemic activities of name.,724
name may increase the anticoagulant activities of name.,636
The serum concentration of the active metabolites of name can be increased when name is used in combination with name.,490
name may increase the bradycardic activities of name.,490
name may increase the serotonergic activities of name.,376
The therapeutic efficacy of name can be increased when used in combination with name.,330
name may increase the hypokalemic activities of name.,326
name may increase the orthostatic hypotensive activities of name.,318
name may decrease the cardiotoxic activities of name.,316
name may decrease the excretion rate of name which could result in a higher serum level.,308
name may increase the atrioventricular blocking (AV block) activities of name.,252
name may decrease the sedative activities of name.,204
name may increase the tachycardic activities of name.,200
name may increase the hypertensive and vasoconstricting activities of name.,190
The risk or severity of QTc prolongation can be increased when name is combined with name.,184
name may increase the antihypertensive activities of name.,162
name may increase the arrhythmogenic activities of name.,154
name may increase the cardiotoxic activities of name.,150
The risk or severity of hypotension can be increased when name is combined with name.,140
name may decrease the bronchodilatory activities of name.,134
name may increase the hyperkalemic activities of name.,128
name may increase the nephrotoxic activities of name.,124
name may increase the hypertensive activities of name.,118
name may increase the vasoconstricting activities of name.,116
name may increase the neuroexcitatory activities of name.,114
name may decrease the anticoagulant activities of name.,110
name may increase the fluid retaining activities of name.,108
name may increase the antiplatelet activities of name.,102
The serum concentration of the active metabolites of name can be reduced when name is used in combination with name resulting in a loss in efficacy.,98
name may increase the immunosuppressive activities of name.,96
The risk or severity of bleeding can be increased when name is combined with name.,88
name may decrease the stimulatory activities of name.,88
The risk or severity of myelosuppression can be increased when name is combined with name.,80
name may decrease the vasoconstricting activities of name.,80
name may increase the thrombogenic activities of name.,80
name may increase the analgesic activities of name.,68
name may increase the anticholinergic activities of name.,68
name can cause an increase in the absorption of name resulting in an increased serum concentration and potentially a worsening of adverse effects.,42
The risk or severity of sedation and somnolence can be increased when name is combined with name.,40
The risk or severity of rhabdomyolysis can be increased when name is combined with name.,30
The risk or severity of hyperkalemia can be increased when name is combined with name.,26
name may increase the hepatotoxic activities of name.,24
name may increase the myopathic rhabdomyolysis activities of name.,20
name may increase the respiratory depressant activities of name.,20
name can cause a decrease in the absorption of name resulting in a reduced serum concentration and potentially a decrease in efficacy.,18
name may increase the hyponatremic activities of name.,18
name may increase the vasopressor activities of name.,18
The risk or severity of myopathy and rhabdomyolysis can be increased when name is combined with name.,14
name may increase the excretion rate of name which could result in a lower serum level and potentially a reduction in efficacy.,14
name may decrease the neuromuscular blocking activities of name.,12
The risk of a hypersensitivity reaction to name is increased when it is combined with name.,10
name may increase the hyperglycemic activities of name.,10
name may increase the hypocalcemic activities of name.,10
name may increase the myelosuppressive activities of name.,10
name may increase the vasodilatory activities of name.,10
