index,mechanism,action,drugA,drugB
1,The serum concentration,decrease,Abemaciclib,Apalutamide
2,The serum concentration,increase,Abemaciclib,Aprepitant
3,The metabolism,decrease,Abemaciclib,Atomoxetine
4,The metabolism,decrease,Abemaciclib,Bortezomib
5,The serum concentration,decrease,Abemaciclib,Bosentan
6,The serum concentration,increase,Abemaciclib,Bosutinib
7,The serum concentration,decrease,Abemaciclib,Carbamazepine
8,The risk or severity of adverse effects,increase,Abemaciclib,Ceritinib
9,The risk or severity of adverse effects,increase,Abemaciclib,Clarithromycin
10,The metabolism,decrease,Abemaciclib,Clemastine
11,The metabolism,decrease,Abemaciclib,Clotrimazole
12,The serum concentration,increase,Abemaciclib,Colchicine
13,The serum concentration,increase,Abemaciclib,Conivaptan
14,The metabolism,decrease,Abemaciclib,Crizotinib
15,The metabolism,decrease,Abemaciclib,Cyclosporine
16,The serum concentration of the active metabolites,increase,Abemaciclib,Dabigatranetexilate
17,The serum concentration,decrease,Dabrafenib,Abemaciclib
18,The serum concentration,increase,Dasatinib,Abemaciclib
19,The metabolism,decrease,Dihydroergotamine,Abemaciclib
20,The metabolism,decrease,Diltiazem,Abemaciclib
21,The serum concentration,increase,Doxorubicin,Abemaciclib
22,The metabolism,decrease,Doxycycline,Abemaciclib
23,The metabolism,decrease,Dronedarone,Abemaciclib
24,The serum concentration,increase,Eltrombopag,Abemaciclib
25,The serum concentration,decrease,Enzalutamide,Abemaciclib
26,The metabolism,decrease,Erythromycin,Abemaciclib
27,The serum concentration,increase,Everolimus,Abemaciclib
28,The metabolism,decrease,Fluvoxamine,Abemaciclib
29,The serum concentration,decrease,Fosphenytoin,Abemaciclib
30,The metabolism,decrease,Imatinib,Abemaciclib
31,The serum concentration,increase,Isavuconazole,Abemaciclib
32,The metabolism,decrease,Isradipine,Abemaciclib
33,The risk or severity of adverse effects,increase,Itraconazole,Abemaciclib
34,The serum concentration,increase,Ivacaftor,Abemaciclib
35,The serum concentration,increase,Ketoconazole,Abemaciclib
36,The serum concentration,increase,Lorpiprazole,Abemaciclib
37,The metabolism,decrease,Lovastatin,Abemaciclib
38,The serum concentration,decrease,Lumacaftor,Abemaciclib
39,The serum concentration,decrease,Midostaurin,Abemaciclib
40,The serum concentration,increase,Mifepristone,Abemaciclib
41,The serum concentration,decrease,Mitotane,Abemaciclib
42,The serum concentration,increase,Naloxegol,Abemaciclib
43,The risk or severity of adverse effects,increase,Nefazodone,Abemaciclib
44,The serum concentration,increase,Netupitant,Abemaciclib
45,The metabolism,decrease,Aceclofenac,Abiraterone
46,The serum concentration,increase,Acenocoumarol,Abiraterone
47,The serum concentration,increase,Acetaminophen,Abiraterone
48,The serum concentration,increase,Acetylcholine,Abiraterone
49,The serum concentration,increase,Acetylsalicylicacid,Abiraterone
50,The metabolism,decrease,Adinazolam,Abiraterone
51,The serum concentration,increase,Agomelatine,Abiraterone
52,The serum concentration,increase,Ajmaline,Abiraterone
53,The serum concentration,increase,Albendazole,Abiraterone
54,The serum concentration,increase,Almotriptan,Abiraterone
55,The serum concentration,increase,Alogliptin,Abiraterone
56,The serum concentration,increase,Alosetron,Abiraterone
57,The serum concentration,increase,Alprenolol,Abiraterone
58,The metabolism,decrease,Ambrisentan,Abiraterone
59,The serum concentration,increase,Aminophylline,Abiraterone
60,The serum concentration,increase,Amiodarone,Abiraterone
61,The serum concentration,increase,Amitriptyline,Abiraterone
62,The serum concentration,increase,Amodiaquine,Abiraterone
63,The serum concentration,increase,Amoxapine,Abiraterone
64,The serum concentration,increase,Amphetamine,Abiraterone
65,The serum concentration,increase,Amsacrine,Abiraterone
66,The serum concentration,increase,Anagrelide,Abiraterone
67,The serum concentration,increase,Antipyrine,Abiraterone
68,The serum concentration,decrease,Apalutamide,Abiraterone
69,The serum concentration,increase,Apixaban,Abiraterone
70,The serum concentration,increase,Aprepitant,Abiraterone
71,The serum concentration,increase,Aprindine,Abiraterone
72,The serum concentration,increase,Arformoterol,Abiraterone
73,The serum concentration,increase,Aripiprazole,Abiraterone
74,The serum concentration,increase,Asenapine,Abiraterone
75,The serum concentration,increase,Astemizole,Abiraterone
76,The serum concentration,increase,Atomoxetine,Abiraterone
77,The serum concentration,increase,Atorvastatin,Abiraterone
78,The serum concentration,increase,Axitinib,Abiraterone
79,The serum concentration,increase,Azelastine,Abiraterone
80,The serum concentration,increase,Benzatropine,Abiraterone
81,The serum concentration,increase,Bepridil,Abiraterone
82,The serum concentration,increase,Betaxolol,Abiraterone
83,The metabolism,decrease,Bexarotene,Abiraterone
84,The serum concentration,increase,Bisoprolol,Abiraterone
85,The serum concentration,increase,Bortezomib,Abiraterone
86,The serum concentration,increase,Bosentan,Abiraterone
87,The serum concentration,increase,Brexpiprazole,Abiraterone
88,The serum concentration,increase,Brigatinib,Abiraterone
89,The metabolism,decrease,Brivaracetam,Abiraterone
90,The serum concentration,increase,Bromazepam,Abiraterone
91,The serum concentration,increase,Brompheniramine,Abiraterone
92,The serum concentration,increase,Bupivacaine,Abiraterone
93,The serum concentration,increase,Buprenorphine,Abiraterone
94,The serum concentration,increase,Bupropion,Abiraterone
95,The serum concentration,increase,Buspirone,Abiraterone
96,The serum concentration,increase,Cabazitaxel,Abiraterone
97,The metabolism,decrease,Cabozantinib,Abiraterone
98,The serum concentration,increase,Caffeine,Abiraterone
99,The metabolism,decrease,Candesartancilexetil,Abiraterone
100,The metabolism,decrease,Cannabidiol,Abiraterone
101,The serum concentration,increase,Captopril,Abiraterone
102,The serum concentration,decrease,Carbamazepine,Abiraterone
103,The serum concentration,increase,Carbinoxamine,Abiraterone
104,The serum concentration,increase,Cariprazine,Abiraterone
105,The metabolism,decrease,Carisoprodol,Abiraterone
106,The serum concentration,increase,Carmustine,Abiraterone
107,The serum concentration,increase,Carteolol,Abiraterone
108,The serum concentration,increase,Carvedilol,Abiraterone
109,The metabolism,decrease,Celecoxib,Abiraterone
110,The serum concentration,increase,Ceritinib,Abiraterone
111,The serum concentration,increase,Cerivastatin,Abiraterone
112,The serum concentration,increase,Cevimeline,Abiraterone
113,The metabolism,decrease,Chloramphenicol,Abiraterone
114,The serum concentration,increase,Chloroquine,Abiraterone
115,The serum concentration,increase,Chlorphenamine,Abiraterone
116,The serum concentration,increase,Chlorpromazine,Abiraterone
117,The metabolism,decrease,Chlorpropamide,Abiraterone
118,The serum concentration,increase,Chlorzoxazone,Abiraterone
119,The serum concentration,increase,Cilostazol,Abiraterone
120,The serum concentration,increase,Cinacalcet,Abiraterone
121,The serum concentration,increase,Cinnarizine,Abiraterone
122,The serum concentration,increase,Cisapride,Abiraterone
123,The serum concentration,increase,Citalopram,Abiraterone
124,The metabolism,decrease,Clarithromycin,Abiraterone
125,The metabolism,decrease,Clemastine,Abiraterone
126,The serum concentration,increase,Clenbuterol,Abiraterone
127,The serum concentration,increase,Clevidipine,Abiraterone
128,The serum concentration,increase,Clomipramine,Abiraterone
129,The serum concentration,increase,Clonidine,Abiraterone
130,The serum concentration of the active metabolites,reduce,Clopidogrel,Abiraterone
131,The metabolism,decrease,Abiraterone,Clotiazepam
132,The metabolism,decrease,Abiraterone,Clotrimazole
133,The serum concentration,increase,Abiraterone,Clozapine
134,The serum concentration,increase,Abiraterone,Codeine
135,The serum concentration,increase,Abiraterone,Conivaptan
136,The metabolism,decrease,Abiraterone,Crizotinib
137,The serum concentration,increase,Abiraterone,Cyclobenzaprine
138,The serum concentration,increase,Abiraterone,Cyclophosphamide
139,The metabolism,decrease,Abiraterone,Cyclosporine
140,The serum concentration,decrease,Abiraterone,Dabrafenib
141,The serum concentration,increase,Abiraterone,Dacarbazine
142,The serum concentration,increase,Abiraterone,Dapagliflozin
143,The serum concentration,increase,Abiraterone,Darifenacin
144,The serum concentration,increase,Abiraterone,Dasatinib
145,The serum concentration,increase,Abiraterone,Daunorubicin
146,The serum concentration,increase,Abiraterone,Debrisoquin
147,The serum concentration,increase,Abiraterone,Desipramine
148,The serum concentration,increase,Abiraterone,Deutetrabenazine
149,The serum concentration,increase,Abiraterone,Dexchlorpheniraminemaleate
150,The serum concentration,increase,Abiraterone,Dexfenfluramine
151,The metabolism,decrease,Abiraterone,Dexlansoprazole
152,The serum concentration,increase,Abiraterone,Dexmethylphenidate
153,The serum concentration,increase,Abiraterone,Dextroamphetamine
154,The serum concentration,increase,Abiraterone,Dextromethorphan
155,The serum concentration,increase,Abiraterone,Diazepam
156,The serum concentration,increase,Abiraterone,Diclofenac
157,The metabolism,decrease,Abiraterone,Dicoumarol
158,the cardiotoxic activities,decrease,Abiraterone,Digitoxin
159,the cardiotoxic activities,decrease,Abiraterone,Digoxin
160,The metabolism,decrease,Abiraterone,Dihydroergotamine
161,The serum concentration,increase,Abiraterone,Diltiazem
162,The serum concentration,increase,Abiraterone,Dinoprostone
163,The serum concentration,increase,Abiraterone,Diphenhydramine
164,The risk or severity of adverse effects,increase,Abiraterone,Docetaxel
165,The metabolism,decrease,Abiraterone,Doconexent
166,The serum concentration,increase,Abiraterone,Dolasetron
167,The serum concentration,increase,Abiraterone,Domperidone
168,The serum concentration,increase,Abiraterone,Donepezil
169,The serum concentration,increase,Abiraterone,Dopamine
170,The metabolism,decrease,Abiraterone,Dorzolamide
171,The serum concentration,increase,Abiraterone,Doxazosin
172,The serum concentration,increase,Abiraterone,Doxepin
173,The serum concentration,increase,Abiraterone,Doxorubicin
174,The metabolism,decrease,Abiraterone,Doxycycline
175,The serum concentration,increase,Abiraterone,Dronabinol
176,The serum concentration,increase,Abiraterone,Dronedarone
177,The serum concentration,increase,Abiraterone,Duloxetine
178,The serum concentration,increase,Abiraterone,Eletriptan
179,The serum concentration,increase,Abiraterone,Eliglustat
180,The serum concentration,increase,Abiraterone,Eltrombopag
181,The serum concentration,increase,Abiraterone,Enasidenib
182,The serum concentration,increase,Abiraterone,Encainide
183,The serum concentration,decrease,Abiraterone,Enzalutamide
184,The serum concentration,increase,Abiraterone,Epinastine
185,The metabolism,decrease,Abiraterone,Epoprostenol
186,The serum concentration,increase,Abiraterone,Ergotamine
187,The serum concentration,increase,Abiraterone,Erlotinib
188,The metabolism,decrease,Abiraterone,Erythromycin
189,The serum concentration,increase,Abiraterone,Escitalopram
190,The metabolism,decrease,Abiraterone,Esomeprazole
191,The serum concentration,increase,Abiraterone,Estradiol
192,The serum concentration,increase,Abiraterone,Estradiolacetate
193,The serum concentration,increase,Abiraterone,Estradiolbenzoate
194,The serum concentration,increase,Abiraterone,Estradiolcypionate
195,The serum concentration,increase,Abiraterone,Estradioldienanthate
196,The serum concentration,increase,Abiraterone,Estradiolvalerate
197,The serum concentration,increase,Abiraterone,Estrone
198,The serum concentration,increase,Abiraterone,Estronesulfate
199,The serum concentration,increase,Abiraterone,Eszopiclone
200,The serum concentration,increase,Abiraterone,Ethanol
201,The serum concentration,increase,Abiraterone,Ethylmorphine
202,The metabolism,decrease,Abiraterone,Etizolam
203,The metabolism,decrease,Abiraterone,Etodolac
204,The serum concentration,increase,Abiraterone,Etoposide
205,The serum concentration,increase,Abiraterone,Etoricoxib
206,The metabolism,decrease,Abiraterone,Famotidine
207,The serum concentration,increase,Abiraterone,Fesoterodine
208,The serum concentration,increase,Abiraterone,Fingolimod
209,The serum concentration,increase,Abiraterone,Flecainide
210,The serum concentration,increase,Abiraterone,Flunarizine
211,The serum concentration,increase,Abiraterone,Flunitrazepam
212,The serum concentration,increase,Abiraterone,Fluorouracil
213,The serum concentration,increase,Abiraterone,Fluoxetine
214,The serum concentration,increase,Abiraterone,Fluphenazine
215,The metabolism,decrease,Abiraterone,Flurbiprofen
216,The serum concentration,increase,Abiraterone,Flutamide
217,The serum concentration,increase,Abiraterone,Fluvastatin
218,The serum concentration,increase,Abiraterone,Fluvoxamine
219,The serum concentration,increase,Abiraterone,Formoterol
220,The serum concentration,decrease,Abiraterone,Fosphenytoin
221,The serum concentration,increase,Abiraterone,Frovatriptan
222,The serum concentration,increase,Abiraterone,Galantamine
223,The serum concentration,increase,Abiraterone,Gefitinib
224,The metabolism,decrease,Abiraterone,Gliclazide
225,The metabolism,decrease,Abiraterone,Glimepiride
226,The metabolism,decrease,Abiraterone,Glipizide
227,The metabolism,decrease,Abiraterone,Glucosamine
